BMI_Overweight,BMI_Overwgt8,BMI_Overwgt4,BMI,Avg 0,BMI_Class,HR,Outlier,Number of Records,Avg,Handedness,Height,Name,Weight
Normal,"N2: [22,23)",Normal 1,22.426346406,No Batting,b Normal,0,Good Data,1,0,Right,73,Tom Brown,170
Normal,"N4: [24,25)",Normal 2,24.009382623,Batted,b Normal,4,Good Data,1,0.13,Right,73,Denny Lemaster,182
Normal,"N4: [24,25)",Normal 2,24.404879984,Batted,b Normal,27,Good Data,1,0.263,Left,71,Joe Nolan,175
Overweight,"O2: [25.5,26)",OvWgt 1,25.840159630,Batted,c Overwgt,16,Good Data,1,0.25,Left,69,Denny Doyle,175
Normal,"N1: [19,22)",Normal 1,21.520408163,Batted,b Normal,138,Good Data,1,0.275,Right,70,Jose Cardenal,150
Overweight,"O3: [26,26.5)",OvWgt 2,26.317567568,Batted,c Overwgt,28,Good Data,1,0.193,Right,74,Mike Ryan,205
Overweight,"O1: [25,25.5)",OvWgt 1,25.087770062,Batted,c Overwgt,2,Good Data,1,0.159,Both,72,Fritz Peterson,185
Overweight,"O4: [26.5,30)",OvWgt 2,27.121913580,Batted,c Overwgt,10,Good Data,1,0.25,Right,72,Dick Bertell,200
Normal,"N3: [22,24)",Normal 2,23.745543254,Batted,b Normal,6,Good Data,1,0.241,Right,73,Rod Kanehl,180
Overweight,"O1: [25,25.5)",OvWgt 1,25.033783784,No Batting,c Overwgt,0,Good Data,1,0,Right,74,Ozzie Osborn,195
Normal,"N4: [24,25)",Normal 2,24.405141678,No Batting,b Normal,0,Good Data,1,0,Left,73,John LaRose,185
Normal,"N4: [24,25)",Normal 2,24.370666667,No Batting,b Normal,0,Good Data,1,0,Right,75,Jeff Byrd,195
Overweight,"O1: [25,25.5)",OvWgt 1,25.101869355,Batted,c Overwgt,7,Good Data,1,0.256,Right,69,Juan Bonilla,170
Overweight,"O2: [25.5,26)",OvWgt 1,25.799444555,Batted,c Overwgt,6,Good Data,1,0.241,Left,71,Frank Tepedino,185
Normal,"N3: [22,24)",Normal 2,23.085944830,No Batting,b Normal,0,Good Data,1,0,Left,73,Jerry Kutzler,175
Normal,"N3: [22,24)",Normal 2,23.745543254,Batted,b Normal,15,Good Data,1,0.195,Right,73,Rick Wise,180
Overweight,"O2: [25.5,26)",OvWgt 1,25.675675676,Batted,c Overwgt,414,Good Data,1,0.248,Left,74,Darrell Evans,200
Overweight,"O4: [26.5,30)",OvWgt 2,27.259183673,Batted,c Overwgt,58,Good Data,1,0.225,Right,70,Buck Martinez,190
Overweight,"O2: [25.5,26)",OvWgt 1,25.765817901,Batted,c Overwgt,86,Good Data,1,0.262,Right,72,John Wockenfuss,190
Normal,"N4: [24,25)",Normal 2,24.816550926,Batted,b Normal,75,Good Data,1,0.246,Left,72,Tommy McCraw,183
Normal,"N3: [22,24)",Normal 2,23.120888889,No Batting,b Normal,0,Good Data,1,0,Both,75,Jeff Barkley,185
